id,category,error_name,error_code,symptoms,probable_causes,step_1,step_2,step_3,verification,risk,sources
BSOD-095,BSOD,WHEA_UNCORRECTABLE_ERROR,WHEA_UNCORRECTABLE_ERROR,Blue screen displaying WHEA_UNCORRECTABLE_ERROR (WHEA_UNCORRECTABLE_ERROR) after boot,Faulty or outdated device driver,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-096,BSOD,BAD_POOL_HEADER,BAD_POOL_HEADER,Crash with message BAD_POOL_HEADER during driver update,Disk errors or file system corruption,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-097,BSOD,PFN_LIST_CORRUPT,PFN_LIST_CORRUPT,Blue screen displaying PFN_LIST_CORRUPT (PFN_LIST_CORRUPT) after boot,Bad RAM or memory corruption,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-098,BSOD,SYSTEM_THREAD_EXCEPTION_NOT_HANDLED,SYSTEM_THREAD_EXCEPTION_NOT_HANDLED,Crash with message SYSTEM_THREAD_EXCEPTION_NOT_HANDLED during driver update,Bad RAM or memory corruption,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-099,BSOD,VIDEO_TDR_FAILURE,VIDEO_TDR_FAILURE,Blue screen displaying VIDEO_TDR_FAILURE (VIDEO_TDR_FAILURE) after boot,Disk errors or file system corruption,Update or roll back the suspected device driver via Device Manager,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-100,BSOD,THREAD_STUCK_IN_DEVICE_DRIVER,THREAD_STUCK_IN_DEVICE_DRIVER,System crashes to BSOD with THREAD_STUCK_IN_DEVICE_DRIVER when starting application,Overheating or hardware incompatibility,Update or roll back the suspected device driver via Device Manager,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
DISK-001,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,System logs indicate repeated read/write errors (RAID_degraded),Firmware bug in drive,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-002,Disk_SMART,SMART imminent failure,SMART_PANIC,System logs indicate repeated read/write errors (SMART_PANIC),Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-003,Disk_SMART,Frequent read errors,Read_Error,System logs indicate repeated read/write errors (Read_Error),Loose SATA/Power cable or failing controller,Check SMART with `smartctl -a` and review reallocated/pending sectors,Replace drive if reallocated sector count continues to grow,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-004,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,Slow file access and IO timeouts; SMART attribute RAID_degraded rising,Firmware bug in drive,Replace drive if reallocated sector count continues to grow,Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-005,Disk_SMART,Pending sector count warning,Pending_Sector_Count,SMART report shows Pending_Sector_Count on drive,Unclean shutdowns causing file system damage,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-006,Disk_SMART,File system corruption detected,Corrupt_filesystem,System logs indicate repeated read/write errors (Corrupt_filesystem),Physical media degradation (bad sectors),Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-007,Disk_SMART,SMART imminent failure,SMART_PANIC,System logs indicate repeated read/write errors (SMART_PANIC),Firmware bug in drive,Reseat cables and try different SATA port; test on another machine,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-008,Disk_SMART,I/O device error,I/O_DEVICE_ERROR,Slow file access and IO timeouts; SMART attribute I/O_DEVICE_ERROR rising,Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Replace drive if reallocated sector count continues to grow,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-009,Disk_SMART,Pending sector count warning,Pending_Sector_Count,Slow file access and IO timeouts; SMART attribute Pending_Sector_Count rising,Loose SATA/Power cable or failing controller,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-010,Disk_SMART,SMART imminent failure,SMART_PANIC,SMART report shows SMART_PANIC on drive,Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Replace drive if reallocated sector count continues to grow,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-011,Disk_SMART,Slow disk I/O performance,Slow_IO,SMART report shows Slow_IO on drive,Firmware bug in drive,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-012,Disk_SMART,Slow disk I/O performance,Slow_IO,SMART report shows Slow_IO on drive,Physical media degradation (bad sectors),Replace drive if reallocated sector count continues to grow,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-013,Disk_SMART,File system corruption detected,Corrupt_filesystem,SMART report shows Corrupt_filesystem on drive,Physical media degradation (bad sectors),Replace drive if reallocated sector count continues to grow,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-014,Disk_SMART,File system corruption detected,Corrupt_filesystem,System logs indicate repeated read/write errors (Corrupt_filesystem),Loose SATA/Power cable or failing controller,Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-015,Disk_SMART,Pending sector count warning,Pending_Sector_Count,System logs indicate repeated read/write errors (Pending_Sector_Count),Unclean shutdowns causing file system damage,Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-016,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,System logs indicate repeated read/write errors (RAID_degraded),Physical media degradation (bad sectors),Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-017,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,Slow file access and IO timeouts; SMART attribute RAID_degraded rising,Loose SATA/Power cable or failing controller,Replace drive if reallocated sector count continues to grow,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-018,Disk_SMART,Slow disk I/O performance,Slow_IO,Slow file access and IO timeouts; SMART attribute Slow_IO rising,Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-019,Disk_SMART,SMART imminent failure,SMART_PANIC,Slow file access and IO timeouts; SMART attribute SMART_PANIC rising,Loose SATA/Power cable or failing controller,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-020,Disk_SMART,Frequent read errors,Read_Error,Slow file access and IO timeouts; SMART attribute Read_Error rising,Physical media degradation (bad sectors),Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-021,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,System logs indicate repeated read/write errors (RAID_degraded),Firmware bug in drive,Backup data immediately to external media or cloud,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-022,Disk_SMART,File system corruption detected,Corrupt_filesystem,SMART report shows Corrupt_filesystem on drive,Loose SATA/Power cable or failing controller,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-023,Disk_SMART,Disk not responding intermittently,Disk_No_Response,SMART report shows Disk_No_Response on drive,Loose SATA/Power cable or failing controller,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-024,Disk_SMART,Frequent read errors,Read_Error,System logs indicate repeated read/write errors (Read_Error),Firmware bug in drive,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-025,Disk_SMART,Boot disk not found,Boot_disk_not_found,System logs indicate repeated read/write errors (Boot_disk_not_found),Unclean shutdowns causing file system damage,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-026,Disk_SMART,Boot disk not found,Boot_disk_not_found,Slow file access and IO timeouts; SMART attribute Boot_disk_not_found rising,Firmware bug in drive,Replace drive if reallocated sector count continues to grow,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-027,Disk_SMART,SMART imminent failure,SMART_PANIC,Slow file access and IO timeouts; SMART attribute SMART_PANIC rising,Physical media degradation (bad sectors),Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-028,Disk_SMART,Disk not responding intermittently,Disk_No_Response,Slow file access and IO timeouts; SMART attribute Disk_No_Response rising,Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-029,Disk_SMART,File system corruption detected,Corrupt_filesystem,SMART report shows Corrupt_filesystem on drive,Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-030,Disk_SMART,Pending sector count warning,Pending_Sector_Count,SMART report shows Pending_Sector_Count on drive,Firmware bug in drive,Reseat cables and try different SATA port; test on another machine,Replace drive if reallocated sector count continues to grow,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-031,Disk_SMART,Disk not responding intermittently,Disk_No_Response,SMART report shows Disk_No_Response on drive,Unclean shutdowns causing file system damage,Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-032,Disk_SMART,Pending sector count warning,Pending_Sector_Count,System logs indicate repeated read/write errors (Pending_Sector_Count),Physical media degradation (bad sectors),Replace drive if reallocated sector count continues to grow,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-033,Disk_SMART,SMART imminent failure,SMART_PANIC,Slow file access and IO timeouts; SMART attribute SMART_PANIC rising,Firmware bug in drive,Replace drive if reallocated sector count continues to grow,Reseat cables and try different SATA port; test on another machine,Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-034,Disk_SMART,Reallocated sectors increasing,Reallocated_Sector_Count,SMART report shows Reallocated_Sector_Count on drive,Firmware bug in drive,Replace drive if reallocated sector count continues to grow,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-035,Disk_SMART,File system corruption detected,Corrupt_filesystem,SMART report shows Corrupt_filesystem on drive,Physical media degradation (bad sectors),Replace drive if reallocated sector count continues to grow,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-036,Disk_SMART,Slow disk I/O performance,Slow_IO,Slow file access and IO timeouts; SMART attribute Slow_IO rising,Physical media degradation (bad sectors),Replace drive if reallocated sector count continues to grow,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-037,Disk_SMART,Pending sector count warning,Pending_Sector_Count,System logs indicate repeated read/write errors (Pending_Sector_Count),Physical media degradation (bad sectors),Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Reseat cables and try different SATA port; test on another machine,Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-038,Disk_SMART,Disk not responding intermittently,Disk_No_Response,Slow file access and IO timeouts; SMART attribute Disk_No_Response rising,Firmware bug in drive,Reseat cables and try different SATA port; test on another machine,Replace drive if reallocated sector count continues to grow,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-039,Disk_SMART,File system corruption detected,Corrupt_filesystem,Slow file access and IO timeouts; SMART attribute Corrupt_filesystem rising,Loose SATA/Power cable or failing controller,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-040,Disk_SMART,Pending sector count warning,Pending_Sector_Count,System logs indicate repeated read/write errors (Pending_Sector_Count),Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Replace drive if reallocated sector count continues to grow,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-041,Disk_SMART,Slow disk I/O performance,Slow_IO,Slow file access and IO timeouts; SMART attribute Slow_IO rising,Unclean shutdowns causing file system damage,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Reseat cables and try different SATA port; test on another machine,Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-042,Disk_SMART,I/O device error,I/O_DEVICE_ERROR,System logs indicate repeated read/write errors (I/O_DEVICE_ERROR),Unclean shutdowns causing file system damage,Reseat cables and try different SATA port; test on another machine,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-043,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,System logs indicate repeated read/write errors (RAID_degraded),Loose SATA/Power cable or failing controller,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-044,Disk_SMART,Boot disk not found,Boot_disk_not_found,System logs indicate repeated read/write errors (Boot_disk_not_found),Loose SATA/Power cable or failing controller,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-045,Disk_SMART,Pending sector count warning,Pending_Sector_Count,System logs indicate repeated read/write errors (Pending_Sector_Count),Physical media degradation (bad sectors),Replace drive if reallocated sector count continues to grow,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-046,Disk_SMART,Boot disk not found,Boot_disk_not_found,Slow file access and IO timeouts; SMART attribute Boot_disk_not_found rising,Loose SATA/Power cable or failing controller,Backup data immediately to external media or cloud,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-047,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,Slow file access and IO timeouts; SMART attribute RAID_degraded rising,Unclean shutdowns causing file system damage,Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-048,Disk_SMART,I/O device error,I/O_DEVICE_ERROR,Slow file access and IO timeouts; SMART attribute I/O_DEVICE_ERROR rising,Unclean shutdowns causing file system damage,Replace drive if reallocated sector count continues to grow,Backup data immediately to external media or cloud,Check SMART with `smartctl -a` and review reallocated/pending sectors,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-049,Disk_SMART,SMART imminent failure,SMART_PANIC,Slow file access and IO timeouts; SMART attribute SMART_PANIC rising,Firmware bug in drive,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-050,Disk_SMART,Pending sector count warning,Pending_Sector_Count,System logs indicate repeated read/write errors (Pending_Sector_Count),Loose SATA/Power cable or failing controller,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-051,Disk_SMART,Reallocated sectors increasing,Reallocated_Sector_Count,System logs indicate repeated read/write errors (Reallocated_Sector_Count),Firmware bug in drive,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-052,Disk_SMART,Disk not responding intermittently,Disk_No_Response,System logs indicate repeated read/write errors (Disk_No_Response),Loose SATA/Power cable or failing controller,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Replace drive if reallocated sector count continues to grow,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-053,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,Slow file access and IO timeouts; SMART attribute RAID_degraded rising,Loose SATA/Power cable or failing controller,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-054,Disk_SMART,Slow disk I/O performance,Slow_IO,System logs indicate repeated read/write errors (Slow_IO),Firmware bug in drive,Backup data immediately to external media or cloud,Reseat cables and try different SATA port; test on another machine,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-055,Disk_SMART,Pending sector count warning,Pending_Sector_Count,System logs indicate repeated read/write errors (Pending_Sector_Count),Firmware bug in drive,Replace drive if reallocated sector count continues to grow,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-056,Disk_SMART,Slow disk I/O performance,Slow_IO,System logs indicate repeated read/write errors (Slow_IO),Firmware bug in drive,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Reseat cables and try different SATA port; test on another machine,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-057,Disk_SMART,SMART imminent failure,SMART_PANIC,System logs indicate repeated read/write errors (SMART_PANIC),Firmware bug in drive,Replace drive if reallocated sector count continues to grow,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-058,Disk_SMART,Reallocated sectors increasing,Reallocated_Sector_Count,Slow file access and IO timeouts; SMART attribute Reallocated_Sector_Count rising,Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-059,Disk_SMART,RAID degraded or rebuild failed,RAID_degraded,Slow file access and IO timeouts; SMART attribute RAID_degraded rising,Unclean shutdowns causing file system damage,Check SMART with `smartctl -a` and review reallocated/pending sectors,Run `chkdsk /f /r` on affected volume (Windows) or `fsck` (Linux),Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-060,Disk_SMART,SMART imminent failure,SMART_PANIC,Slow file access and IO timeouts; SMART attribute SMART_PANIC rising,Loose SATA/Power cable or failing controller,Replace drive if reallocated sector count continues to grow,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-061,Disk_SMART,Pending sector count warning,Pending_Sector_Count,Slow file access and IO timeouts; SMART attribute Pending_Sector_Count rising,Physical media degradation (bad sectors),Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-062,Disk_SMART,Frequent read errors,Read_Error,SMART report shows Read_Error on drive,Firmware bug in drive,Check SMART with `smartctl -a` and review reallocated/pending sectors,Reseat cables and try different SATA port; test on another machine,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
DISK-063,Disk_SMART,Frequent read errors,Read_Error,Slow file access and IO timeouts; SMART attribute Read_Error rising,Firmware bug in drive,Replace drive if reallocated sector count continues to grow,Check SMART with `smartctl -a` and review reallocated/pending sectors,Backup data immediately to external media or cloud,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,medium,Vendor KB / SMART docs (paraphrased)
DISK-064,Disk_SMART,File system corruption detected,Corrupt_filesystem,System logs indicate repeated read/write errors (Corrupt_filesystem),Firmware bug in drive,Backup data immediately to external media or cloud,Reseat cables and try different SATA port; test on another machine,Replace drive if reallocated sector count continues to grow,SMART attributes stabilize and no new reallocated sectors; successful read/write tests.,high,Vendor KB / SMART docs (paraphrased)
